word,count
ball,18
highlight,14
nba,13
lonzo,13
game,12
highlights,8
10,7
preseason,6
vs,6
bulls,6
top,6
players,6
3,6
ben,5
basketball,5
one,5
said,5
season,5
like,5
kobe,4
still,4
win,4
good,4
player,4
simmons,4
jimmy,4
think,4
1,4
tonight,4
points,4
shooting,4
playing,4
that’s,4
bryant,3
espn,3
coverage,3
sources,3
he’s,3
serious,3
would,3
bam,3
attempt,3
court,3
2,3
replay,3
tyler,3
herro,3
time,3
dunk,3
jr,3
best,3
making,3
years,3
really,3
mvp,3
first,3
coach,3
told,3
team,3
ends,3
anthony,3
finals,3
bench,3
it’s,3
corner,3
mcdermott,3
lakers,3
agent,3
greatest,3
deal,3
kat,2
jrue,2
holiday,2
small,2
celtics,2
jayson,2
tatum,2
thinking,2
used,2
defensive,2
new,2
much,2
11,2
helped,2
damian,2
lillard,2
trade,2
media,2
situation,2
contract,2
perkins,2
legler,2
haynes,2
pick,2
jared,2
mccain,2
fall,2
hospital,2
reevaluated,2
today,2
injury,2
get,2
lob,2
finds,2
full,2
pass,2
franz,2
wagner,2
every,2
chicago,2
work,2
list,2
different,2
ago,2
terry,2
charania,2
josh,2
take,2
offense,2
5,2
finishes,2
missing,2
isnt,2
hasn’t,2
played,2
two,2
pts,2
46,2
hit,2
head,2
postgame,2
early,2
half,2
shaq,2
edwards,2
minnesota,2
15,2
mins,2
timberwolves,2
sabrina,2
bucks,2
going,2
retired,2
aron,2
baynes,2
getting,2
4,2
julius,2
randle,2
well,2
3pointer,2
soon,2
nothing,2
zach,2
lavine,2
steals,2
debut,2
sixers,2
kings,2
doug,2
draymond,2
lawsuit,2
carlisle,2
former,2
wembanyama,2
way,2
2019,2
7,2
12,2
agreed,2
year,2
next,2
career,2
adebayo,2
steph,2
curry,2
parker,2
james,2
bad,2
dpoy,2
6,2
kevin,2
locked,1
twolves,1
billie,1
eilish,1
concert,1
msg,1
🥲💙,1
halle,1
berry,1
mesmerized,1
jaylen,1
brown,1
lauren,1
gave,1
business,1
owners,1
100000,1
apiece,1
