word,count
ball,216
highlight,168
nba,156
lonzo,156
game,144
highlights,96
10,84
preseason,72
vs,72
bulls,72
top,72
players,72
3,72
ben,60
basketball,60
one,60
said,60
season,60
like,60
kobe,48
still,48
win,48
good,48
player,48
simmons,48
jimmy,48
think,48
1,48
tonight,48
points,48
shooting,48
playing,48
that’s,48
bryant,36
espn,36
coverage,36
sources,36
he’s,36
serious,36
would,36
bam,36
attempt,36
court,36
2,36
replay,36
tyler,36
herro,36
time,36
dunk,36
jr,36
best,36
making,36
years,36
really,36
mvp,36
first,36
coach,36
told,36
team,36
ends,36
anthony,36
finals,36
bench,36
it’s,36
corner,36
mcdermott,36
lakers,36
agent,36
greatest,36
deal,36
kat,24
jrue,24
holiday,24
small,24
celtics,24
jayson,24
tatum,24
thinking,24
used,24
defensive,24
new,24
much,24
11,24
helped,24
damian,24
lillard,24
trade,24
media,24
situation,24
contract,24
perkins,24
legler,24
haynes,24
pick,24
jared,24
mccain,24
fall,24
hospital,24
reevaluated,24
today,24
injury,24
get,24
lob,24
finds,24
full,24
pass,24
franz,24
wagner,24
every,24
chicago,24
work,24
list,24
different,24
ago,24
terry,24
charania,24
josh,24
take,24
offense,24
5,24
finishes,24
missing,24
isnt,24
hasn’t,24
played,24
two,24
pts,24
46,24
hit,24
head,24
postgame,24
early,24
half,24
shaq,24
edwards,24
minnesota,24
15,24
mins,24
timberwolves,24
sabrina,24
bucks,24
going,24
retired,24
aron,24
baynes,24
getting,24
4,24
julius,24
randle,24
well,24
3pointer,24
soon,24
nothing,24
zach,24
lavine,24
steals,24
debut,24
sixers,24
kings,24
doug,24
draymond,24
lawsuit,24
carlisle,24
former,24
wembanyama,24
way,24
2019,24
7,24
12,24
agreed,24
year,24
next,24
career,24
adebayo,24
steph,24
curry,24
parker,24
james,24
bad,24
dpoy,24
6,24
kevin,24
locked,12
twolves,12
billie,12
eilish,12
concert,12
msg,12
🥲💙,12
halle,12
berry,12
mesmerized,12
jaylen,12
brown,12
lauren,12
gave,12
business,12
owners,12
100000,12
apiece,12
